date,SP500,Small_Cap,T_Bills,T_Bonds_10yr,Baa_Corp_Bond,Real_Estate,Gold
1928-12-31,143.81,162.15,103.08,100.84,103.22,101.49,100.10
1929-12-31,131.88,87.43,106.34,105.07,106.33,99.40,99.95
1930-12-31,98.75,45.16,111.18,109.85,106.91,95.13,100.05
1931-12-31,55.46,25.46,113.74,107.03,90.14,87.38,82.66
1932-12-31,50.66,32.75,114.96,116.44,111.41,78.23,100.24
1933-12-31,75.99,80.77,116.06,118.60,125.86,75.25,127.57
1934-12-31,75.09,99.41,116.39,128.05,149.54,77.44,168.07
1935-12-31,110.18,153.98,116.58,133.78,169.44,85.00,168.80
1936-12-31,145.38,302.44,116.78,140.49,188.73,87.73,168.94
1937-12-31,94.00,139.30,117.11,142.43,180.39,89.98,168.56
1938-12-31,121.53,146.49,117.18,148.43,197.05,89.20,168.85
1939-12-31,120.20,139.37,117.24,154.98,212.78,88.04,166.76
1940-12-31,107.37,93.55,117.28,163.35,231.18,90.95,164.00
1941-12-31,93.66,87.23,117.43,160.04,242.76,83.32,164.00
1942-12-31,111.61,142.20,117.83,163.72,255.33,86.10,164.00
1943-12-31,139.59,345.56,118.28,167.79,275.88,95.95,164.00
1944-12-31,166.15,591.43,118.73,172.12,293.99,111.87,164.00
1945-12-31,225.67,1149.80,119.18,178.67,313.98,125.04,168.17
1946-12-31,206.65,991.93,119.63,184.26,321.85,155.18,168.17
1947-12-31,217.39,974.67,120.35,185.95,322.70,188.17,168.17
1948-12-31,229.79,974.58,121.61,189.58,333.79,192.05,168.17
1949-12-31,271.85,1243.56,122.96,198.42,351.74,192.22,153.54
1950-12-31,355.60,1900.28,124.44,199.27,366.65,199.22,168.22
1951-12-31,439.80,1973.82,126.33,198.68,365.95,211.26,168.22
1952-12-31,519.62,1993.96,128.51,203.19,382.20,220.57,167.64
1953-12-31,513.35,1874.92,130.94,211.61,388.39,245.98,168.80
1954-12-31,783.18,3093.05,132.17,218.57,412.31,248.25,169.77
1955-12-31,1038.47,3919.51,134.45,215.65,420.74,248.25,169.72
1956-12-31,1115.73,3884.63,137.97,210.79,410.84,250.52,169.53
1957-12-31,999.05,3294.55,142.42,225.11,407.89,257.33,169.33
1958-12-31,1435.84,5561.21,144.93,220.39,434.11,259.03,170.06
